source;Target;weight;Type
1;2;1;Undirected
1;4;1;Undirected
1;8;1;Undirected
1;10;1;Undirected
1;13;1;Undirected
2;6;1;Undirected
2;7;1;Undirected
2;10;1;Undirected
3;4;1;Undirected
3;16;1;Undirected
3;20;1;Undirected
3;9;1;Undirected
4;5;1;Undirected
4;9;1;Undirected
4;11;1;Undirected
5;6;1;Undirected
5;15;1;Undirected
5;20;1;Undirected
11;14;1;Undirected
11;15;1;Undirected
11;20;1;Undirected
15;20;1;Undirected
15;18;1;Undirected
15;7;1;Undirected
7;8;1;Undirected
7;9;1;Undirected
7;11;1;Undirected
